hsa-let-7c, LINC00478
hsa-mir-1204, PVT1
hsa-mir-1205, PVT1
hsa-mir-1206, PVT1
hsa-mir-1207, PVT1
hsa-mir-124-1, LINC00599
hsa-mir-124-2, RP11-32K4.2
hsa-mir-1247, DIO3OS
hsa-mir-1248, SNORA81 / EIF4A2
hsa-mir-1251, RMST
hsa-mir-125b-2, LINC00478
hsa-mir-1291, SNORA34 / KANSL2
hsa-mir-1302-2, AC140725.4
hsa-mir-135a-2, RMST
hsa-mir-137, MIR137HG
hsa-mir-144, MIR4732
hsa-mir-146a, hsa-mir-146a (CTC-231O11.1)
hsa-mir-155, MIR155HG (BIC)
hsa-mir-15a, DLEU2
hsa-mir-16-1, DLEU2
hsa-mir-17, MIR17HG
hsa-mir-181a-1, RP11-31E23.1
hsa-mir-181b-1, RP11-31E23.1
hsa-mir-18a, MIR17HG
hsa-mir-193b, RP11-65J21.3
hsa-mir-194-2, AP001187.9
hsa-mir-19a, MIR17HG
hsa-mir-19b-1, MIR17HG
hsa-mir-205, MIR205HG
hsa-mir-20a, MIR17HG
hsa-mir-210, MIR210HG
hsa-mir-2117, hsa-mir-2117.1 (RP11-100E5.2)
hsa-mir-216a, AC0011306.2
hsa-mir-216b, AC0011306.2
hsa-mir-217, AC0011306.2
hsa-mir-22, MIR22HG
hsa-mir-2392, MEG3
hsa-mir-2682, MIR137HG
hsa-mir-30a, LINC00472
hsa-mir-30c-2, LINC00472
hsa-mir-31, MIR31HG
hsa-mir-3118-1, BX004987.4
hsa-mir-3118-2, BX571672.1
hsa-mir-3118-3, AL583842.3
hsa-mir-3142, hsa-mir-146a.1 (CTC-231O11.1)
hsa-mir-3150b, RP11-320N21.1
hsa-mir-3179-1, MIR3179-1
hsa-mir-3179-2, MIR3179-2
hsa-mir-3651, SNORA84 / IARS
hsa-mir-365a, RP11-65J21.3
hsa-mir-3663, RP11-501J20.2
hsa-mir-3669, CCDC26
hsa-mir-3673, CCDC26
hsa-mir-3677, hsa-mir-940.1 (RP11-304L19.13)
hsa-mir-3681, AC096559.1
hsa-mir-3686, CCDC26
hsa-mir-370, MEG8
hsa-mir-374a, FTX
hsa-mir-381, MIR381HG
hsa-mir-3945, RP11-701P16.5
hsa-mir-3976, RP11-945C19.1
hsa-mir-424, AC004383.4
hsa-mir-4290, RP11-406A20.4
hsa-mir-4300, RP11-179A16.1
hsa-mir-4307, RP11-384J4.2
hsa-mir-4313, MIR4313
hsa-mir-4432, AC007381.2
hsa-mir-4436b-1, RP11-1223D19.1
hsa-mir-4449, DANCR
hsa-mir-4500, MIR4500HG
hsa-mir-451a, MIR4732
hsa-mir-451b, MIR4732
hsa-mir-4533, RP5-1043L13.1
hsa-mir-4634, CTD-2532K18.1
hsa-mir-4712, GABPB1-AS1
hsa-mir-4713, RP11-108K3.1
hsa-mir-4719, CTD-2336H13.2
hsa-mir-4720, MIR4720
hsa-mir-4732, MIR4732
hsa-mir-487b, MIR381HG
hsa-mir-503, AC004383.4
hsa-mir-539, MIR381HG
hsa-mir-545, FTX
hsa-mir-548x, AL109763.2
hsa-mir-5583-2, LINC00669
hsa-mir-5689, RP1-290I10.7
hsa-mir-583, RP11-254I22.1
hsa-mir-600, MIR600HG / STRBP / protein coding
hsa-mir-612, NEAT1
hsa-mir-646, RP5-1043L13.1
hsa-mir-663a, RP3-410C9.1
hsa-mir-664a, SNORA36B / RAB3GAP2
hsa-mir-664b, SNORA36A / DKC1
hsa-mir-675, H19
hsa-mir-7-3, MIR7-3HG
hsa-mir-770, MEG3
hsa-mir-889, MIR381HG
hsa-mir-9-2, LINC00461
hsa-mir-924, LINC00669
hsa-mir-92a-1, MIR17HG
hsa-mir-9-3, CTD-2335A18.1
hsa-mir-940, hsa-mir-940.1 (RP11-304L19.13)
hsa-mir-99a, LINC00478